Subject,Scenario,Channel,Band,Best K,Accuracy
1,Single Channel & Band,F,Delta,9,0.5138888888888888
1,Single Channel & Band,F,Theta,4,0.5833333333333334
1,Single Channel & Band,F,Alpha,9,0.6527777777777778
1,Single Channel & Band,F,Beta,3,0.5694444444444444
1,Single Channel & Band,F,Gamma,10,0.6111111111111112
1,Single Channel & Band,F,Delta,10,0.625
1,Single Channel & Band,F,Theta,5,0.6666666666666666
1,Single Channel & Band,F,Alpha,1,0.6388888888888888
1,Single Channel & Band,F,Beta,2,0.5416666666666666
1,Single Channel & Band,F,Gamma,4,0.5833333333333334
1,Single Channel & Band,F,Delta,9,0.6388888888888888
1,Single Channel & Band,F,Theta,7,0.5972222222222222
1,Single Channel & Band,F,Alpha,1,0.5833333333333334
1,Single Channel & Band,F,Beta,3,0.5972222222222222
1,Single Channel & Band,F,Gamma,1,0.4861111111111111
1,Single Channel & Band,C,Delta,1,0.6805555555555556
1,Single Channel & Band,C,Theta,5,0.3055555555555556
1,Single Channel & Band,C,Alpha,7,0.8611111111111112
1,Single Channel & Band,C,Beta,2,0.5277777777777778
1,Single Channel & Band,C,Gamma,1,0.5138888888888888
1,Single Channel & Band,C,Delta,3,0.7222222222222222
1,Single Channel & Band,C,Theta,1,0.5
1,Single Channel & Band,C,Alpha,9,0.8472222222222222
1,Single Channel & Band,C,Beta,6,0.4583333333333333
1,Single Channel & Band,C,Gamma,5,0.5
1,Single Channel & Band,C,Delta,5,0.6527777777777778
1,Single Channel & Band,C,Theta,7,0.6944444444444444
1,Single Channel & Band,C,Alpha,5,0.7083333333333334
1,Single Channel & Band,C,Beta,2,0.5416666666666666
1,Single Channel & Band,C,Gamma,2,0.5833333333333334
1,Single Channel & Band,P,Delta,10,0.5694444444444444
1,Single Channel & Band,P,Theta,3,0.4583333333333333
1,Single Channel & Band,P,Alpha,5,0.5416666666666666
1,Single Channel & Band,P,Beta,4,0.5416666666666666
1,Single Channel & Band,P,Gamma,4,0.5555555555555556
1,"Single Channel, All Bands",F,All,3,0.5833333333333334
1,"Single Channel, All Bands",F,All,9,0.6111111111111112
1,"Single Channel, All Bands",F,All,1,0.8055555555555556
1,"Single Channel, All Bands",C,All,1,0.75
1,"Single Channel, All Bands",C,All,1,0.7916666666666666
1,"Single Channel, All Bands",C,All,7,0.7083333333333334
1,"Single Channel, All Bands",P,All,3,0.8888888888888888
1,"Single Band, All Channels",All,Delta,1,0.6111111111111112
1,"Single Band, All Channels",All,Theta,9,0.6666666666666666
1,"Single Band, All Channels",All,Alpha,7,0.7916666666666666
1,"Single Band, All Channels",All,Beta,5,0.7361111111111112
1,"Single Band, All Channels",All,Gamma,10,0.5694444444444444
1,All Channels & All Bands,All,All,7,0.6805555555555556
2,Single Channel & Band,F,Delta,1,0.4861111111111111
2,Single Channel & Band,F,Theta,8,0.4166666666666667
2,Single Channel & Band,F,Alpha,9,0.7638888888888888
2,Single Channel & Band,F,Beta,1,0.5277777777777778
2,Single Channel & Band,F,Gamma,3,0.6388888888888888
2,Single Channel & Band,F,Delta,1,0.4305555555555556
2,Single Channel & Band,F,Theta,10,0.5277777777777778
2,Single Channel & Band,F,Alpha,10,0.75
2,Single Channel & Band,F,Beta,1,0.5833333333333334
2,Single Channel & Band,F,Gamma,5,0.5555555555555556
2,Single Channel & Band,F,Delta,6,0.4861111111111111
2,Single Channel & Band,F,Theta,2,0.5833333333333334
2,Single Channel & Band,F,Alpha,4,0.7361111111111112
2,Single Channel & Band,F,Beta,4,0.4583333333333333
2,Single Channel & Band,F,Gamma,1,0.5833333333333334
2,Single Channel & Band,C,Delta,4,0.5138888888888888
2,Single Channel & Band,C,Theta,4,0.5
2,Single Channel & Band,C,Alpha,7,0.75
2,Single Channel & Band,C,Beta,1,0.5694444444444444
2,Single Channel & Band,C,Gamma,6,0.6666666666666666
2,Single Channel & Band,C,Delta,9,0.7916666666666666
